Variable Group Description,Age Group Description,Geography,Values,YEAR,Definition,Dataset,Geography Level,FIPS,NAME,Role
Native Hawaiian and Other Pacific Islander Male,40 to 44,Seattle MSA,1713.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,15 to 19,Washington,9417.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,30 to 34,"Pierce County, WA",52.17722150174252,1988,nan,Moodys,County,53053,Pierce County,Broad
Male,10 to 14,Washington,252124.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Hispanic Male,45 to 49,,9188.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Female,70 to 74,United States,5723763.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Male,35 to 39,Washington,8407.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Male,75 to 79,Seattle MSA,268.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,15 to 19,,8581.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,0 to 4,"Pierce County, WA",3985.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Male,5 to 9,"Pierce County, WA",4052.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Female,75 to 79,,2103.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,70 to 74,"Pierce County, WA",354.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Female,5 to 9,Seattle MSA,105629.0,2011,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,50 to 54,United States,20576.84367631456,2006,nan,Moodys,National,00,United States,Benchmark
White Female,75 to 79,,34428.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,70 to 74,"Pierce County, WA",8681.0,2012,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Female,60 to 64,Washington,3611.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,35 to 39,Seattle MSA,151638.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Male,85+,,22297.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Male,55 to 59,United States,1011437.0,2012,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Male,70 to 74,"Pierce County, WA",328.0,2023,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Hispanic Female,75 to 79,Washington,5880.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Asian Female,10 to 14,Washington,17999.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Female,5 to 9,Seattle MSA,58171.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Male,60 to 64,"Pierce County, WA",17771.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Male,45 to 49,"Pierce County, WA",27612.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,80 to 84,Washington,57861.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Asian Male,65 to 69,Seattle MSA,6697.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Male,0 to 4,United States,5030238.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,0 to 4,,156.73537310312093,1971,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,0 to 4,"Pierce County, WA",50.29499887272612,1994,nan,Moodys,County,53053,Pierce County,Broad
Hispanic Female,70 to 74,,1450.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Female,35 to 39,Washington,3497.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Male,80 to 84,"Pierce County, WA",4983.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Male,20 to 24,Seattle MSA,8548.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,20 to 24,Seattle MSA,8965.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,80 to 84,United States,15196.0,2015,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Male,85+,"Pierce County, WA",153.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Asian Male,40 to 44,Washington,34555.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Asian Female,50 to 54,,20418.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,5 to 9,"Pierce County, WA",53.4029998708664,2008,nan,Moodys,County,53053,Pierce County,Broad
Asian Male,35 to 39,"Pierce County, WA",1473.0,2012,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,65+,"Pierce County, WA",83.45299674558285,2008,nan,Moodys,County,53053,Pierce County,Broad
Hispanic Male,60 to 64,Seattle MSA,4731.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Male,45 to 49,Seattle MSA,128411.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,55 to 59,,1884.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,75 to 79,"Pierce County, WA",77.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Male,80 to 84,Seattle MSA,17947.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,10 to 14,,1338.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,70 to 74,"Pierce County, WA",1128.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
All,65+,"Pierce County, WA",66.22800396671562,1994,nan,Moodys,County,53053,Pierce County,Broad
Multiracial Male,70 to 74,United States,68837.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Asian Male,80 to 84,Washington,4672.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,0 to 4,"Pierce County, WA",56.09100099233055,2009,nan,Moodys,County,53053,Pierce County,Broad
Black or African American Male,0 to 4,United States,1359857.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Asian Male,40 to 44,Washington,22230.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Female,45 to 49,Washington,3077.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Female,15 to 19,"Pierce County, WA",1781.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Male,40 to 44,Seattle MSA,134025.0,2011,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Female,35 to 39,Seattle MSA,89832.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Male,40 to 44,,156722.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,25 to 29,Washington,245.53120440855847,1971,nan,Moodys,State,53,Washington,Benchmark
Native American Male,0 to 4,,880.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,35 to 39,Seattle MSA,6615.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,0 to 4,Washington,19500.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Female,5 to 9,Washington,8054.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Female,75 to 79,United States,4507381.0,2015,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Female,60 to 64,United States,10938774.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Multiracial Female,10 to 14,Seattle MSA,9253.0,2011,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,0 to 4,,7618.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,45 to 49,United States,708786.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Female,5 to 9,Washington,53853.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native American Male,20 to 24,Seattle MSA,1216.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Male,75 to 79,Seattle MSA,173.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,75 to 79,United States,386782.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Female,45 to 49,Seattle MSA,1121.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Asian Male,35 to 39,United States,635067.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Female,50 to 54,United States,10387588.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,85+,"Pierce County, WA",217.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Hispanic Male,0 to 4,Washington,54686.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Multiracial Male,50 to 54,Washington,4664.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,75 to 79,"Pierce County, WA",11617.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native American Female,45 to 49,"Pierce County, WA",361.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Asian Male,35 to 39,"Pierce County, WA",2040.0,2019,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Male,60 to 64,"Pierce County, WA",258.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native American Female,10 to 14,Seattle MSA,1008.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,15 to 19,United States,1556310.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Asian Female,5 to 9,,18248.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,35 to 39,United States,6063782.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Female,0 to 4,Seattle MSA,111725.0,2012,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,65 to 69,Washington,4692.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Female,70 to 74,,61196.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Female,35 to 39,Seattle MSA,1184.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Male,30 to 34,Seattle MSA,103605.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
All,0 to 4,United States,15578.982581982364,1977,nan,Moodys,National,00,United States,Benchmark
Hispanic Male,40 to 44,Seattle MSA,19093.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,30 to 34,United States,27769.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Female,10 to 14,Washington,53657.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Female,75 to 79,Seattle MSA,47636.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,75 to 79,,415.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,75 to 79,,827.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,10 to 14,Washington,15842.0,2014,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Female,75 to 79,Washington,71142.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Female,35 to 39,,10013.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,0 to 4,Washington,2813.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Female,85+,Washington,82461.0,2014,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Female,65 to 69,Washington,182140.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Hispanic Female,40 to 44,,13740.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Male,40 to 44,"Pierce County, WA",4331.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Female,5 to 9,United States,9951198.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Male,85+,Washington,540.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Asian Female,15 to 19,Seattle MSA,14550.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,10 to 14,,1217.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,85+,"Pierce County, WA",30.0,2019,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Female,5 to 9,United States,2605471.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
All,45 to 49,,286.9270002402394,2009,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,5 to 9,United States,495969.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Female,20 to 24,Seattle MSA,7456.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,0 to 4,"Pierce County, WA",1987.0,2017,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Female,10 to 14,"Pierce County, WA",312.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Female,80 to 84,United States,19320.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Female,20 to 24,United States,1604563.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Male,65 to 69,"Pierce County, WA",908.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Female,25 to 29,"Pierce County, WA",2661.0,2017,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Female,75 to 79,"Pierce County, WA",198.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Female,5 to 9,United States,432795.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Asian Female,15 to 19,,13322.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,60 to 64,United States,581656.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Black or African American Female,5 to 9,"Pierce County, WA",1737.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Female,5 to 9,Seattle MSA,22022.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
White Female,65 to 69,,56795.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,25 to 29,Washington,153994.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
White Male,50 to 54,Washington,175659.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Female,5 to 9,Seattle MSA,723.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,85+,Washington,52.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,30 to 34,"Pierce County, WA",32405.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,70 to 74,"Pierce County, WA",10560.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Male,0 to 4,United States,2557769.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,45 to 49,United States,17154.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,60 to 64,United States,15120.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Female,80 to 84,Seattle MSA,1294.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,40 to 44,Seattle MSA,5220.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,85+,United States,355020.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
White Male,15 to 19,Seattle MSA,58990.0,2019,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,10 to 14,Seattle MSA,213.31399832181327,2009,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
All,50 to 54,Seattle MSA,103.6113275159042,1974,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,80 to 84,Washington,714.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Male,45 to 49,Seattle MSA,8204.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Male,15 to 19,"Pierce County, WA",15304.0,2019,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Female,5 to 9,United States,1388531.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,20 to 24,Seattle MSA,176.13352065981238,1975,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,70 to 74,Seattle MSA,1348.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native American Male,70 to 74,Seattle MSA,529.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,0 to 4,Seattle MSA,7774.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,60 to 64,United States,105656.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
White Male,10 to 14,Washington,140588.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,25 to 29,Washington,402.676004617793,1997,nan,Moodys,State,53,Washington,Benchmark
Multiracial Female,55 to 59,Washington,5009.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
