Variable Group Description,Age Group Description,Geography,Values,YEAR,Definition,Dataset,Geography Level,FIPS,NAME,Role
All,60 to 64,Washington,159.58264720333068,1976,nan,Moodys,State,53,Washington,Benchmark
White Male,75 to 79,Washington,59163.0,2012,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Male,20 to 24,"Pierce County, WA",2992.0,2019,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Male,55 to 59,"Pierce County, WA",2108.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Female,60 to 64,United States,10585539.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
White Male,70 to 74,Seattle MSA,34265.0,2012,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,40 to 44,Seattle MSA,11802.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,15 to 19,United States,2692618.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
All,15 to 19,Seattle MSA,170.08901118656172,1994,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,65 to 69,,562.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Female,60 to 64,,2097.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,60 to 64,United States,1433686.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Female,65 to 69,,3206.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,10 to 14,,1284.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Female,85+,"Pierce County, WA",11.0,2017,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Male,20 to 24,United States,90066.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Female,70 to 74,United States,414237.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,40 to 44,United States,20224.173121121337,1995,nan,Moodys,National,00,United States,Benchmark
All,15 to 19,United States,19106.794736878423,1970,nan,Moodys,National,00,United States,Benchmark
Hispanic Male,70 to 74,,1805.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,15 to 19,"Pierce County, WA",29532.0,2023,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Multiracial Female,65 to 69,"Pierce County, WA",428.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,75 to 79,,32228.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,65 to 69,Seattle MSA,631.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,75 to 79,,340.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,35 to 39,United States,18699.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,55 to 59,"Pierce County, WA",229.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,5 to 9,Seattle MSA,19969.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native American Female,85+,Seattle MSA,141.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,0 to 4,United States,20746.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Black or African American Female,10 to 14,Washington,8731.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Male,40 to 44,United States,73407.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Female,5 to 9,United States,1378951.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Asian Female,5 to 9,Seattle MSA,16801.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native American Female,15 to 19,United States,89526.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,45 to 49,,1298.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,45 to 49,"Pierce County, WA",2222.0,2017,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,65 to 69,Seattle MSA,462.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,15 to 19,,199.40399045083223,1996,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,65 to 69,Washington,12604.0,2014,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Female,20 to 24,Washington,3498.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Asian Male,85+,United States,62442.0,2012,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Male,20 to 24,Washington,16535.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,10 to 14,Washington,423.0700045269663,1998,nan,Moodys,State,53,Washington,Benchmark
Female,25 to 29,United States,11022779.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Black or African American Male,35 to 39,Seattle MSA,12674.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,20 to 24,,1528.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Male,85+,,307.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,20 to 24,"Pierce County, WA",17674.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Hispanic Female,55 to 59,United States,1538190.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Male,0 to 4,United States,10173124.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
White Male,70 to 74,Washington,93294.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,45 to 49,Washington,497.6420000000023,2008,nan,Moodys,State,53,Washington,Benchmark
Native American Male,5 to 9,United States,86022.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Asian Male,30 to 34,Washington,20142.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
