Year,Geography Level,NAME,FIPS,Value Type,Source,Dataset,Values,Role
2019,Metropolitan Statistical Area,Houston MSA,26420,BIRTHS,Census-CBSA,PEP_Vintage_2020,95206.0,Peer
2019,National,US,00,RNETMIG,Census-County-State-US,PEP_Vintage_2020,1.7358566599,Benchmark
1981,State,Texas,48,BIRTHS,Moodys-State,Moodys,269553.2248809153,Benchmark
2014,State,Texas,48,NETMIG,Census-County-State-US,PEP_Vintage_2020,266604.0,Benchmark
2022,State,Texas,48,RBIRTH,Census-County-State-US,PEP_Vintage_2025,12.859328745,Benchmark
2022,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,DEATHS,Census-County-State-US,PEP_Vintage_2025,-8900.0,Peer
1999,Metropolitan Statistical Area,Houston MSA,26420,POPESTIMATE,Moodys-CBSA,Moodys,4644526.114293583,Peer
1997,Metropolitan Statistical Area,San Antonio MSA,41700,NATURALCHG,Moodys-CBSA,Moodys,15681.204590695634,Peer
2020,Metropolitan Statistical Area,Dallas MSA,19100,GQESTIMATES,Census-CBSA,PEP_Vintage_2025,88337.0,Peer
2022,Metropolitan Statistical Area,Dallas MSA,19100,DEATHS,Census-CBSA,PEP_Vintage_2025,-58688.0,Peer
1987,National,US,00,INTERNATIONALMIG,Moodys-US,Moodys,410507.09400927153,Benchmark
2018,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,BIRTHS,Census-County-State-US,PEP_Vintage_2020,12090.0,Peer
2016,County or Equivalent,Travis County,48453,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,6623.0,Focus
2016,Metropolitan Statistical Area,Austin MSA,12420,BIRTHS,Census-CBSA,PEP_Vintage_2020,26939.0,Broad
2019,County or Equivalent,Travis County,48453,BIRTHS,Census-County-State-US,PEP_Vintage_2020,15093.0,Focus
2014,National,US,00,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,2.9809773838,Benchmark
2002,State,Texas,48,BIRTHS,Moodys-State,Moodys,367684.9774365815,Benchmark
2009,Metropolitan Statistical Area,Dallas MSA,19100,INTERNATIONALMIG,Moodys-CBSA,Moodys,35205.82871778879,Peer
2017,Metropolitan Statistical Area,Houston MSA,26420,RDEATH,Census-CBSA,PEP_Vintage_2020,75.6271609594,Peer
2012,Metropolitan Statistical Area,Houston MSA,26420,RDOMESTICMIG,Census-CBSA,PEP_Vintage_2020,68.5196630468,Peer
2017,State,Texas,48,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,376960.0,Benchmark
1992,Metropolitan Statistical Area,Dallas MSA,19100,NATURALCHG,Moodys-CBSA,Moodys,49427.68859301088,Peer
1995,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,DOMESTICMIG,Moodys-County,Moodys,16997.987375667937,Peer
2025,Metropolitan Statistical Area,San Antonio MSA,41700,NPOPCHG,Census-CBSA,PEP_Vintage_2025,38402.0,Peer
2023,Metropolitan Statistical Area,Austin MSA,12420,INTERNATIONALMIG,Census-CBSA,PEP_Vintage_2025,25338.0,Broad
2004,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RESIDUAL,Moodys-County,Moodys,-920.9999999999843,Peer
1988,Metropolitan Statistical Area,Austin MSA,12420,DEATHS,Moodys-CBSA,Moodys,-4481.436117236802,Broad
2015,Metropolitan Statistical Area,Austin MSA,12420,RESIDUAL,Census-CBSA,PEP_Vintage_2020,526.0,Broad
2018,State,Texas,48,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,28624564.0,Benchmark
1990,National,US,00,INTERNATIONALMIG,Moodys-US,Moodys,785716.6446294492,Benchmark
2000,Metropolitan Statistical Area,Dallas MSA,19100,NATURALCHG,Moodys-CBSA,Moodys,58366.90058778571,Peer
2001,Metropolitan Statistical Area,Houston MSA,26420,NATURALCHG,Moodys-CBSA,Moodys,53986.70520703006,Peer
2014,County or Equivalent,Travis County,48453,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,10.685097353,Focus
2023,Metropolitan Statistical Area,Houston MSA,26420,DOMESTICMIG,Census-CBSA,PEP_Vintage_2025,40015.0,Peer
2021,Metropolitan Statistical Area,Dallas MSA,19100,RNATURALCHG,Census-CBSA,PEP_Vintage_2025,32.339382275,Peer
2017,National,US,00,RDEATH,Census-County-State-US,PEP_Vintage_2020,8.6028673615,Benchmark
1996,County or Equivalent,Travis County,48453,POPESTIMATE,Moodys-County,Moodys,717193.955549654,Focus
1982,National,US,00,NATURALCHG,Moodys-US,Moodys,1697666.5951932117,Benchmark
2011,Metropolitan Statistical Area,Houston MSA,26420,RESIDUAL,Census-CBSA,PEP_Vintage_2020,-12.0,Peer
2003,Metropolitan Statistical Area,San Antonio MSA,41700,DOMESTICMIG,Moodys-CBSA,Moodys,17797.53386870705,Peer
2014,Metropolitan Statistical Area,Austin MSA,12420,RDOMESTICMIG,Census-CBSA,PEP_Vintage_2020,102.91853543879999,Broad
2010,National,US,00,CENSUS,Census-County-State-US,PEP_Vintage_2020,308745538.0,Benchmark
2016,State,Texas,48,RESIDUAL,Census-County-State-US,PEP_Vintage_2020,392.0,Benchmark
2013,State,Texas,48,RBIRTH,Census-County-State-US,PEP_Vintage_2020,14.627034144,Benchmark
1997,County or Equivalent,Travis County,48453,POPESTIMATE,Moodys-County,Moodys,736586.96084493,Focus
